name,draft_year,draft_pick,y1_pts,y1_reb,y1_ast,y1_fg_pct,y1_fg3_pct,y1_ft_pct,y1_min,y1_tov,y2_pts,y2_reb,y2_ast,y2_fg_pct,y2_fg3_pct,y2_ft_pct,y2_min,y2_tov,y5_pts,y5_reb,y5_ast,y5_fg_pct,y5_fg3_pct,y5_ft_pct,y5_min,y5_tov
Andre Roberson,2013,26,1.9,2.4,0.4,0.485,0.154,0.7,10.0,0.5,3.4,3.8,1.0,0.458,0.247,0.479,19.2,0.7,5.0,4.7,1.2,0.537,0.222,0.316,26.6,0.8
Andrew Nembhard,2022,31,9.5,2.7,4.5,0.441,0.35,0.79,27.7,1.7,9.2,2.1,4.1,0.498,0.357,0.804,25.0,1.5,,,,,,,,
Andrew Wiggins,2014,1,16.9,4.6,2.1,0.437,0.31,0.76,36.2,2.2,20.7,3.6,2.0,0.459,0.3,0.761,35.1,2.2,18.1,4.8,2.5,0.412,0.339,0.699,34.8,1.9
Anfernee Simons,2018,24,3.8,0.7,0.7,0.444,0.345,0.563,7.1,0.6,8.3,2.2,1.4,0.399,0.332,0.826,20.7,0.9,21.1,2.6,4.1,0.447,0.377,0.894,35.0,2.1
Anthony Bennett,2013,1,4.2,3.0,0.3,0.356,0.245,0.638,12.8,0.9,5.2,3.8,0.8,0.421,0.304,0.641,15.7,0.6,,,,,,,,
Anthony Brown,2015,34,4.0,2.4,0.7,0.31,0.286,0.85,20.7,0.5,3.8,2.9,0.7,0.341,0.25,0.0,15.9,0.6,,,,,,,,
Anthony Davis,2012,1,13.5,8.2,1.0,0.516,0.0,0.751,28.8,1.4,20.8,10.0,1.6,0.519,0.222,0.791,35.2,1.6,28.0,11.8,2.1,0.505,0.299,0.802,36.1,2.4
Anthony Edwards,2020,1,19.3,4.7,2.9,0.417,0.329,0.776,32.1,2.2,21.3,4.8,3.8,0.441,0.357,0.786,34.3,2.6,27.6,5.7,4.5,0.447,0.395,0.837,36.3,3.2
Archie Goodwin,2013,29,3.7,1.7,0.4,0.455,0.139,0.673,10.3,0.8,5.6,1.8,1.1,0.393,0.293,0.735,13.0,1.2,,,,,,,,
Austin Rivers,2012,10,6.2,1.8,2.1,0.372,0.326,0.546,23.2,1.2,7.7,1.9,2.3,0.405,0.364,0.636,19.4,1.1,12.0,2.2,2.8,0.442,0.371,0.691,27.8,1.6
Ayo Dosunmu,2021,38,8.8,2.8,3.3,0.52,0.376,0.679,27.4,1.4,8.6,2.8,2.6,0.493,0.312,0.805,26.2,1.2,15.0,3.0,3.6,0.514,0.451,0.857,26.4,1.4
Bam Adebayo,2017,14,6.9,5.5,1.5,0.512,0.0,0.721,19.8,1.0,8.9,7.3,2.2,0.576,0.2,0.735,23.3,1.5,19.1,10.1,3.4,0.557,0.0,0.753,32.6,2.6
Ben McLemore,2013,7,8.8,2.9,1.0,0.376,0.32,0.804,26.7,1.2,12.1,2.9,1.7,0.437,0.358,0.813,32.6,1.7,7.5,2.5,0.9,0.421,0.346,0.828,19.5,1.1
Ben Simmons,2016,1,,,,,,,,,15.8,8.1,8.2,0.545,0.0,0.56,33.7,3.4,14.3,7.2,6.9,0.557,0.3,0.613,32.4,3.0
Bennedict Mathurin,2022,6,16.7,4.1,1.5,0.434,0.323,0.828,28.5,1.9,14.5,4.0,2.0,0.446,0.374,0.821,26.1,1.6,,,,,,,,
Blake Wesley,2022,25,5.0,2.2,2.6,0.321,0.385,0.591,18.1,1.8,4.4,1.5,2.7,0.474,0.218,0.667,14.4,0.9,,,,,,,,
Bobby Portis,2015,22,7.0,5.4,0.8,0.427,0.308,0.727,17.8,0.9,6.8,4.6,0.5,0.488,0.333,0.661,15.6,0.6,10.1,5.1,1.5,0.45,0.358,0.763,21.1,1.1
Bol Bol,2019,44,5.7,2.7,0.9,0.5,0.444,0.8,12.4,1.4,2.2,0.8,0.2,0.431,0.375,0.667,5.0,0.4,5.2,3.2,0.4,0.616,0.423,0.789,10.9,0.4
Bones Hyland,2021,26,10.1,2.7,2.8,0.403,0.366,0.856,19.0,1.2,12.1,2.0,3.0,0.399,0.378,0.866,19.5,1.6,7.3,1.7,2.6,0.466,0.384,0.711,14.8,0.9
Bradley Beal,2012,3,13.9,3.8,2.4,0.41,0.386,0.786,31.2,1.6,17.1,3.7,3.3,0.419,0.402,0.788,34.7,1.8,23.1,3.1,3.5,0.482,0.404,0.825,34.9,2.0
Brandon Clarke,2019,21,12.1,5.9,1.4,0.618,0.359,0.759,22.4,0.9,10.3,5.6,1.6,0.517,0.26,0.69,24.0,0.6,11.3,5.3,1.5,0.559,0.167,0.143,22.3,0.5
Brandon Ingram,2016,2,9.4,4.0,2.1,0.402,0.294,0.621,28.8,1.5,16.1,5.3,3.9,0.47,0.39,0.681,33.5,2.5,23.8,4.9,4.9,0.466,0.381,0.878,34.3,2.5
Brice Johnson,2016,25,1.3,1.0,0.3,0.286,0.0,0.0,3.0,0.3,1.8,1.4,0.1,0.636,0.0,1.0,4.2,0.4,,,,,,,,
Bruce Brown,2018,42,4.3,2.5,1.2,0.398,0.258,0.75,19.6,0.6,8.9,4.7,4.0,0.443,0.344,0.739,28.2,1.7,11.5,4.1,3.4,0.483,0.358,0.758,28.5,1.5
Bruno Caboclo,2014,20,1.3,0.3,0.0,0.333,0.667,0.0,2.9,0.5,0.5,0.3,0.2,0.083,0.143,0.0,7.2,0.7,8.3,4.6,1.5,0.427,0.369,0.84,23.5,1.1
Bruno Fernando,2019,34,4.3,3.5,0.9,0.518,0.135,0.569,12.7,0.8,1.5,2.4,0.3,0.409,0.0,0.682,6.8,0.6,6.3,4.3,1.0,0.583,0.0,0.667,15.2,1.0
Bryce McGowens,2022,40,5.3,2.0,1.2,0.396,0.325,0.75,17.1,0.9,5.1,1.7,0.9,0.439,0.333,0.776,14.9,0.5,,,,,,,,
Buddy Hield,2016,6,8.6,2.9,1.4,0.393,0.369,0.879,20.4,0.8,13.5,3.8,1.9,0.446,0.431,0.877,25.3,1.6,16.6,4.7,3.6,0.406,0.391,0.846,34.3,1.8
C.J. Wilcox,2014,28,2.0,0.3,0.4,0.421,0.368,1.0,4.8,0.5,3.0,0.5,0.4,0.394,0.391,0.75,7.3,0.1,,,,,,,,
